SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,2,OLSR,20
1,0,0,2,OLSR,20
2,0,0,2,OLSR,20
3,0,0,2,OLSR,20
4,0,0,2,OLSR,20
5,0,0,2,OLSR,20
6,0,0,2,OLSR,20
7,0,0,2,OLSR,20
8,0,0,2,OLSR,20
9,0,0,2,OLSR,20
10,0,0,2,OLSR,20
11,0,0,2,OLSR,20
12,0,0,2,OLSR,20
13,0,0,2,OLSR,20
14,0,0,2,OLSR,20
15,0,0,2,OLSR,20
16,0,0,2,OLSR,20
17,0,0,2,OLSR,20
18,0,0,2,OLSR,20
19,0,0,2,OLSR,20
20,0,0,2,OLSR,20
21,0,0,2,OLSR,20
22,0,0,2,OLSR,20
23,0,0,2,OLSR,20
24,0,0,2,OLSR,20
25,0,0,2,OLSR,20
26,0,0,2,OLSR,20
27,0,0,2,OLSR,20
28,0,0,2,OLSR,20
29,0,0,2,OLSR,20
30,0,0,2,OLSR,20
31,0,0,2,OLSR,20
32,0,0,2,OLSR,20
33,0,0,2,OLSR,20
34,0,0,2,OLSR,20
35,0,0,2,OLSR,20
36,0,0,2,OLSR,20
37,0,0,2,OLSR,20
38,0,0,2,OLSR,20
39,0,0,2,OLSR,20
40,0,0,2,OLSR,20
41,0,0,2,OLSR,20
42,0,0,2,OLSR,20
43,0,0,2,OLSR,20
44,0,0,2,OLSR,20
45,0,0,2,OLSR,20
46,0,0,2,OLSR,20
47,0,0,2,OLSR,20
48,0,0,2,OLSR,20
49,0,0,2,OLSR,20
50,0,0,2,OLSR,20
51,0,0,2,OLSR,20
52,0,0,2,OLSR,20
53,0,0,2,OLSR,20
54,0,0,2,OLSR,20
55,0,0,2,OLSR,20
56,0,0,2,OLSR,20
57,0,0,2,OLSR,20
58,0,0,2,OLSR,20
59,0,0,2,OLSR,20
60,0,0,2,OLSR,20
61,0,0,2,OLSR,20
62,0,0,2,OLSR,20
63,0,0,2,OLSR,20
64,0,0,2,OLSR,20
65,0,0,2,OLSR,20
66,0,0,2,OLSR,20
67,0,0,2,OLSR,20
68,0,0,2,OLSR,20
69,0,0,2,OLSR,20
70,0,0,2,OLSR,20
71,0,0,2,OLSR,20
72,0,0,2,OLSR,20
73,0,0,2,OLSR,20
74,0,0,2,OLSR,20
75,0,0,2,OLSR,20
76,0,0,2,OLSR,20
77,0,0,2,OLSR,20
78,0,0,2,OLSR,20
79,0,0,2,OLSR,20
80,0,0,2,OLSR,20
81,0,0,2,OLSR,20
82,0,0,2,OLSR,20
83,0,0,2,OLSR,20
84,0,0,2,OLSR,20
85,0,0,2,OLSR,20
86,0,0,2,OLSR,20
87,0,0,2,OLSR,20
88,0,0,2,OLSR,20
89,0,0,2,OLSR,20
90,0,0,2,OLSR,20
91,0,0,2,OLSR,20
92,0,0,2,OLSR,20
93,0,0,2,OLSR,20
94,0,0,2,OLSR,20
95,0,0,2,OLSR,20
96,0,0,2,OLSR,20
97,0,0,2,OLSR,20
98,0,0,2,OLSR,20
99,0,0,2,OLSR,20
100,0,0,2,OLSR,20
101,2736.13,334,2,OLSR,20
102,4096,500,2,OLSR,20
103,4096,500,2,OLSR,20
104,4096,500,2,OLSR,20
105,4096,500,2,OLSR,20
106,4096,500,2,OLSR,20
107,4096,500,2,OLSR,20
108,4096,500,2,OLSR,20
109,4096,500,2,OLSR,20
110,4096,500,2,OLSR,20
111,4096,500,2,OLSR,20
112,4096,500,2,OLSR,20
113,4096,500,2,OLSR,20
114,4096,500,2,OLSR,20
115,4096,500,2,OLSR,20
116,4096,500,2,OLSR,20
117,4096,500,2,OLSR,20
118,4096,500,2,OLSR,20
119,4096,500,2,OLSR,20
120,4096,500,2,OLSR,20
121,4096,500,2,OLSR,20
122,4096,500,2,OLSR,20
123,4096,500,2,OLSR,20
124,4096,500,2,OLSR,20
125,4096,500,2,OLSR,20
126,4096,500,2,OLSR,20
127,4096,500,2,OLSR,20
128,4096,500,2,OLSR,20
129,4096,500,2,OLSR,20
130,4096,500,2,OLSR,20
131,4096,500,2,OLSR,20
132,4096,500,2,OLSR,20
133,4096,500,2,OLSR,20
134,4096,500,2,OLSR,20
135,4096,500,2,OLSR,20
136,4096,500,2,OLSR,20
137,4096,500,2,OLSR,20
138,4096,500,2,OLSR,20
139,4096,500,2,OLSR,20
140,4096,500,2,OLSR,20
141,4096,500,2,OLSR,20
142,4096,500,2,OLSR,20
143,4096,500,2,OLSR,20
144,4096,500,2,OLSR,20
145,4096,500,2,OLSR,20
146,4096,500,2,OLSR,20
147,4096,500,2,OLSR,20
148,4096,500,2,OLSR,20
149,4096,500,2,OLSR,20
150,4096,500,2,OLSR,20
151,4096,500,2,OLSR,20
152,4096,500,2,OLSR,20
153,4096,500,2,OLSR,20
154,4096,500,2,OLSR,20
155,4096,500,2,OLSR,20
156,4096,500,2,OLSR,20
157,4096,500,2,OLSR,20
158,4096,500,2,OLSR,20
159,4096,500,2,OLSR,20
160,4096,500,2,OLSR,20
161,4096,500,2,OLSR,20
162,4096,500,2,OLSR,20
163,4096,500,2,OLSR,20
164,4096,500,2,OLSR,20
165,4096,500,2,OLSR,20
166,4096,500,2,OLSR,20
167,4096,500,2,OLSR,20
168,4096,500,2,OLSR,20
169,4096,500,2,OLSR,20
170,4096,500,2,OLSR,20
171,4096,500,2,OLSR,20
172,4096,500,2,OLSR,20
173,4096,500,2,OLSR,20
174,4096,500,2,OLSR,20
175,4096,500,2,OLSR,20
176,4096,500,2,OLSR,20
177,4096,500,2,OLSR,20
178,4096,500,2,OLSR,20
179,4096,500,2,OLSR,20
180,4096,500,2,OLSR,20
181,4096,500,2,OLSR,20
182,4096,500,2,OLSR,20
183,4096,500,2,OLSR,20
184,4096,500,2,OLSR,20
185,4096,500,2,OLSR,20
186,4096,500,2,OLSR,20
187,4096,500,2,OLSR,20
188,4096,500,2,OLSR,20
189,4096,500,2,OLSR,20
190,4096,500,2,OLSR,20
191,4096,500,2,OLSR,20
192,4096,500,2,OLSR,20
193,4096,500,2,OLSR,20
194,4096,500,2,OLSR,20
195,4096,500,2,OLSR,20
196,4096,500,2,OLSR,20
197,4096,500,2,OLSR,20
198,4096,500,2,OLSR,20
199,4096,500,2,OLSR,20
